asset_id,asset_class,coverage,n_obs,ann_vol,first_date,last_date,valid
I6UNK159,Index,1.0,249,0.2523097889939037,2005-02-28,2025-10-31,True
I6UNK158,Index,1.0,249,0.2695317360945191,2005-02-28,2025-10-31,True
I6UNK157,Index,1.0,249,0.22542382850632314,2005-02-28,2025-10-31,True
I6UNK156,Index,1.0,249,0.1912171946202265,2005-02-28,2025-10-31,True
I6UNK155,Index,1.0,249,0.19630382726043274,2005-02-28,2025-10-31,True
I6UNK110,Index,1.0,249,0.14183058489823497,2005-02-28,2025-10-31,True
I6UNK107,Index,1.0,249,0.16922072026142326,2005-02-28,2025-10-31,True
I6UNK007,Index,1.0,249,0.16491100340364448,2005-02-28,2025-10-31,True
I6UNK026,Index,1.0,249,0.18982330555995228,2005-02-28,2025-10-31,True
I6UNK037,Index,1.0,249,0.15584688696745455,2005-02-28,2025-10-31,True
I6UNK036,Index,1.0,249,0.19641284736405734,2005-02-28,2025-10-31,True
I6UNK035,Index,1.0,249,0.16327369183963286,2005-02-28,2025-10-31,True
I6UNK034,Index,1.0,249,0.19781486017997274,2005-02-28,2025-10-31,True
I6UNK033,Index,1.0,249,0.1983250292099262,2005-02-28,2025-10-31,True
I6UNK032,Index,1.0,249,0.20469120746573893,2005-02-28,2025-10-31,True
I6UNK031,Index,1.0,249,0.19861530829185395,2005-02-28,2025-10-31,True
I6UNK030,Index,1.0,249,0.15403472802414928,2005-02-28,2025-10-31,True
I6UNK029,Index,1.0,249,0.20455908210044954,2005-02-28,2025-10-31,True
I6UNK028,Index,1.0,249,0.22054366558353006,2005-02-28,2025-10-31,True
I6UNK027,Index,1.0,249,0.20721008556448375,2005-02-28,2025-10-31,True
I6UNK025,Index,1.0,249,0.1686869885220631,2005-02-28,2025-10-31,True
I6UNK086,Index,1.0,249,0.13900037270734764,2005-02-28,2025-10-31,True
I6UNK024,Index,1.0,249,0.17383309264568794,2005-02-28,2025-10-31,True
I6UNK023,Index,1.0,249,0.14436202746971993,2005-02-28,2025-10-31,True
I6UNK022,Index,1.0,249,0.18033724251080163,2005-02-28,2025-10-31,True
I6UNK021,Index,1.0,249,0.16843551029985124,2005-02-28,2025-10-31,True
I6UNK020,Index,1.0,249,0.14804697127402366,2005-02-28,2025-10-31,True
I6UNK019,Index,1.0,249,0.15120987053991689,2005-02-28,2025-10-31,True
I6UNK018,Index,1.0,249,0.18121853070909352,2005-02-28,2025-10-31,True
I6UNK017,Index,1.0,249,0.16539989040755884,2005-02-28,2025-10-31,True
I6UNK016,Index,1.0,249,0.1256712596723629,2005-02-28,2025-10-31,True
I6UNK015,Index,1.0,249,0.13336137392659864,2005-02-28,2025-10-31,True
I6UNK008,Index,1.0,249,0.16467004373121,2005-02-28,2025-10-31,True
I6UNK038,Index,1.0,249,0.15839763878785784,2005-02-28,2025-10-31,True
I6UNK039,Index,1.0,249,0.3285850319720455,2005-02-28,2025-10-31,True
